gl_number,model_reaction_id,reaction_name,subsystem,gene_reaction_rule
1000378,r_0303,"citrate to cis-aconitate(3-), cytoplasmic",Citrate cycle (TCA cycle),YLR304C
1000379,r_0304,coproporphyrinogen oxidase (O2 required),Porphyrin and chlorophyll metabolism,YDR044W
1000380,r_0306,CTP synthase (glutamine),Pyrimidine metabolism,YBL039C or YJR103W
1000381,r_0307,CTP synthase (NH3),Pyrimidine metabolism,YBL039C or YJR103W
1000382,r_0308,cystathionine b-lyase,Cysteine and methionine metabolism,YFR055W or YGL184C
1000383,r_0309,cystathionine beta-synthase,"Glycine, serine and threonine metabolism",YGR155W
1000384,r_0310,cystathionine g-lyase,Cysteine and methionine metabolism,YAL012W
1000385,r_0311,cystathionine gamma-synthase,Cysteine and methionine metabolism,YJR130C
1000386,r_0312,cysteine synthase,Cysteine and methionine metabolism,YLR303W
1000387,r_0313,cysteinyl-tRNA synthetase,tRNA metabolism,YNL247W
1000388,r_0314,cytidine deaminase,Pyrimidine metabolism,YLR245C
1000389,r_0315,cytidine kinase (GTP),Pyrimidine metabolism,YNR012W
1000390,r_0317,cytochrome P450 lanosterol 14-alpha-demethylase (NADP),Steroid biosynthesis,YHR007C and YHR042W
1000391,r_0318,cytosine deaminase,Pyrimidine metabolism,YPR062W
1000392,r_0319,"D-arabinono-1,4-lactone oxidase",Alternate carbon metabolism,YML086C
1000393,r_0320,D-arabinose 1-dehydrogenase (NAD),Alternate carbon metabolism,YMR041C
1000394,r_0321,D-arabinose 1-dehydrogenase (NADP),Alternate carbon metabolism,YBR149W
1000395,r_0322,D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,Glycolysis / gluconeogenesis,YKL060C
1000396,r_0323,D-sorbitol dehydrogenase (D-fructose producing),Fructose and mannose metabolism,YDL246C or YJR159W
1000397,r_0326,dCMP deaminase,Pyrimidine metabolism,YHR144C
1000398,r_0327,dCTP deaminase,Pyrimidine metabolism,YHR144C
1000399,r_0328,deoxyadenosine deaminase,Purine metabolism,YNL141W
1000400,r_0329,deoxycytidine deaminase,Pyrimidine metabolism,YLR245C
1000401,r_0330,deoxyguanylate kinase (dGMP:ATP),Purine metabolism,YDR454C
1000402,r_0331,"deoxyhypusine synthase, cytosolic/mitochondrial",Arginine and proline metabolism,YHR068W
1000403,r_0332,deoxyribokinase,Pentose phosphate pathway,YCR036W
1000404,r_0334,dephospho-CoA kinase,Pantothenate and coa biosynthesis,YDR196C
1000405,r_0335,dethiobiotin synthase,Biotin metabolism,YNR057C
1000406,r_0340,dihydroceramidase,Sphingolipid metabolism,YPL087W
1000407,r_0341,dihydroceramidase,Sphingolipid metabolism,YPL087W
1000408,r_0342,dihydroceramidase,Sphingolipid metabolism,YPL087W
1000409,r_0343,dihydroceramidase,Sphingolipid metabolism,YPL087W
1000410,r_0344,dihydrofolate reductase,Folate biosynthesis,YOR236W
1000411,r_0345,dihydrofolate reductase,Folate biosynthesis,YOR236W
1000412,r_0346,dihydrofolate synthase,Folate biosynthesis,YMR113W
1000413,r_0347,dihydroneopterin aldolase,Folate biosynthesis,YNL256W
1000414,r_0348,dihydroneopterin monophosphate dephosphorylase,Folate biosynthesis,YDL100C
1000415,r_0349,dihydroorotase,Pyrimidine metabolism,YLR420W
1000416,r_0350,dihydropteroate synthase,Folate biosynthesis,YNL256W
1000417,r_0351,dihydropteroate synthase,Folate biosynthesis,YNL256W
1000418,r_0352,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)","Valine, leucine and isoleucine metabolism",YJR016C
1000419,r_0353,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)","Valine, leucine and isoleucine metabolism",YJR016C
1000420,r_0354,dihydroxyacetone kinase,Glycerolipid metabolism,YFL053W or YML070W
1000421,r_0355,dimethylallyltranstransferase,Terpenoid backbone biosynthesis,YJL167W
1000422,r_0356,diphosphoglyceromutase,Glycolysis / gluconeogenesis,YKL152C
1000423,r_0357,"diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase",Inositol phosphate metabolism,YOR163W
1000424,r_0358,"diphosphoinositol-1,3,4,6-tetrakisphosphate synthase",Phosphatidylinositol signaling system,YDR017C
1000425,r_0359,diphthine synthase,Cysteine and methionine metabolism,YLR172C
1000426,r_0360,dolichol kinase,N-glycan biosynthesis,YMR013C
1000427,r_0361,dolichyl-phosphate D-mannosyltransferase,N-glycan biosynthesis,YPR183W
1000428,r_0362,dolichyl-phosphate-mannose--protein mannosyltransferase,N-glycan biosynthesis,(YAL023C and YDL095W) or YDL093W or YJR143C or YOR321W
1000429,r_0363,dTMP kinase,Pyrimidine metabolism,YJR057W
1000430,r_0364,dUTP diphosphatase,Pyrimidine metabolism,YJR069C or YBR252W
1000431,r_0365,endopolygalacturonase,Pentose and glucuronate interconversions,YJR153W
1000432,r_0366,enolase,Glycolysis / gluconeogenesis,YPL281C or YGR254W or YHR174W or YMR323W or YOR393W
1000433,r_0368,ethanolamine kinase,Glycerophospholipid metabolism,YDR147W or YLR133W
1000434,r_0369,ethyl acetate-hydrolyzing esterase,Complex alcohol metabolism,YOR126C
1000435,r_0370,"exo-1,3-beta-glucan glucohydrase",Starch and sucrose metabolism,YDR261C or YGR282C or YLR300W or YNR067C or YOR190W
1000436,r_0373,farnesyltranstransferase,Terpenoid backbone biosynthesis,YPL069C
1000437,r_0399,fatty-acid--CoA ligase (decanoate),Fatty acid biosynthesis,YER015W
1000438,r_0400,fatty-acid--CoA ligase (dodecanoate),Fatty acid biosynthesis,YER015W
1000439,r_0402,fatty-acid--CoA ligase (hexadecanoate),Fatty acid biosynthesis,YER015W
1000440,r_0410,fatty-acid--CoA ligase (octanoate),Fatty acid biosynthesis,YER015W
1000441,r_0412,fatty-acid--CoA ligase (tetradecanoate),Fatty acid biosynthesis,YER015W
1000442,r_0436,ferrochelatase,Porphyrin and chlorophyll metabolism,YOR176W
1000443,r_0437,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,Oxidative phosphorylation,(YEL039C and YKR066C) or (YJR048W and YKR066C)
1000444,r_0438,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,(Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YIL111W and YLR038C and YLR395C and YMR256C) or (Q0045 and Q0250 and Q0275 and YDL067C and YEL039C and YGL187C and YGL191W and YHR051W and YLR038C and YLR395C and YMR256C and YNL052W) or (Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YIL111W and YJR048W and YLR038C and YLR395C and YMR256C) or (Q0045 and Q0250 and Q0275 and YDL067C and YGL187C and YGL191W and YHR051W and YJR048W and YLR038C and YLR395C and YMR256C and YNL052W) or (Q0045 and Q0250 and Q0275 and YDL067C and YHR116W and YDR231C and YGR062C and YJL003W and YPL132W and YLL018C-A)
1000445,r_0439,ubiquinol:ferricytochrome c reductase,Oxidative phosphorylation,(Q0105 and YBL045C and YDR529C and YEL024W and YEL039C and YFR033C and YGR183C and YHR001W-A and YJL166W and YOR065W and YPR191W) or (Q0105 and YBL045C and YDR529C and YEL024W and YFR033C and YGR183C and YHR001W-A and YJL166W and YJR048W and YOR065W and YPR191W)
1000446,r_0440,FMN adenylyltransferase,Riboflavin metabolism,YDL045C
1000447,r_0441,FMN reductase,Riboflavin metabolism,YLR011W
1000448,r_0442,FMN reductase,Riboflavin metabolism,YLR011W
1000449,r_0443,formaldehyde dehydrogenase,Tyrosine metabolism,YDL168W
1000450,r_0445,formate dehydrogenase,Glyoxylate and dicarboxylate metabolism,YOR388C
1000451,r_0446,formate-tetrahydrofolate ligase,One carbon pool by folate,YGR204W
1000452,r_0447,formate-tetrahydrofolate ligase,One carbon pool by folate,YBR084W
1000453,r_0448,"fructose-2,6-bisphosphate 2-phosphatase",Fructose and mannose metabolism,YLR345W or YJL155C
1000454,r_0449,fructose-bisphosphatase,Glycolysis / gluconeogenesis,YLR377C
1000455,r_0450,fructose-bisphosphate aldolase,Glycolysis / gluconeogenesis,YKL060C
1000456,r_0451,fumarase,Citrate cycle (TCA cycle),YPL262W
1000457,r_0452,"fumarase, cytoplasmic",Citrate cycle (TCA cycle),YPL262W
1000458,r_0453,dihydoorotic acid dehydrogenase,Pyrimidine metabolism,YKL216W
1000459,r_0454,fumarate reductase,Citrate cycle (TCA cycle),YEL047C
1000460,r_0455,soluble fumarate reductase,Cellular response to anaerobic conditions,YEL047C
1000461,r_0457,g-glutamyltransferase,Glutathione metabolism,YLR299W
1000462,r_0458,galactokinase,Galactose metabolism,YBR020W
1000463,r_0459,galactose-1-phosphate uridylyltransferase,Galactose metabolism,YBR018C
1000464,r_0460,gamma-glutamylcysteine synthetase,Glutathione metabolism,YJL101C
1000465,r_0461,geranylgeranyltranstransferase,Ubiquinone and other terpenoid-quinone biosynthesis,
1000466,r_0462,geranyltranstransferase,Terpenoid backbone biosynthesis,YJL167W
1000467,r_0463,"glucan 1,4-alpha-glucosidase",Starch and sucrose metabolism,YPR184W
1000468,r_0464,"glucan 1,4-alpha-glucosidase, vacuole",Starch and sucrose metabolism,YIL099W
1000469,r_0465,glucosamine-6-phosphate deaminase,Amino sugar and nucleotide sugar metabolism,
1000470,r_0466,glucose 6-phosphate dehydrogenase,Pentose phosphate pathway,YNL241C
1000471,r_0467,glucose-6-phosphate isomerase,Glycolysis / gluconeogenesis,YBR196C
1000472,r_0468,glutamate 5-kinase,Arginine and proline metabolism,YDR300C
1000473,r_0469,glutamate decarboxylase,"Alanine, aspartate and glutamate metabolism",YMR250W
1000474,r_0470,glutamate dehydrogenase (NAD),"Alanine, aspartate and glutamate metabolism",YDL215C
1000475,r_0471,glutamate dehydrogenase (NADP),"Alanine, aspartate and glutamate metabolism",YAL062W or YOR375C
1000476,r_0472,glutamate synthase (NADH2),"Alanine, aspartate and glutamate metabolism",YDL171C
1000477,r_0473,glutamate-5-semialdehyde dehydrogenase,Arginine and proline metabolism,YOR323C
1000478,r_0475,glutaminase,"Alanine, aspartate and glutamate metabolism",YFL060C or YNL334C
1000479,r_0476,glutamine synthetase,"Alanine, aspartate and glutamate metabolism",YPR035W
1000480,r_0477,glutamine-fructose-6-phosphate transaminase,"Alanine, aspartate and glutamate metabolism",YKL104C
1000481,r_0478,glutaminyl-tRNA synthetase,tRNA metabolism,YOR168W
1000482,r_0479,glutamyl-tRNA synthetase,tRNA metabolism,YGL245W
1000483,r_0480,glutamyl-tRNA synthetase,tRNA metabolism,YOL033W
1000484,r_0481,glutathione oxidoreductase,Glutathione metabolism,(YCL035C and YPL091W) or (YDR098C and YPL091W) or (YDR513W and YPL091W) or (YER174C and YPL091W)
1000485,r_0482,glutathione oxidoreductase,Glutathione metabolism,YPL059W and YPL091W
1000486,r_0483,glutathione peridoxase,Glutathione metabolism,YNL229C or YBR244W or YCL035C or YDR513W or YIR037W or YKL026C
1000487,r_0484,"glutathione peroxidase, mitochondria",Glutathione metabolism,YPL059W
1000488,r_0485,glutathione synthetase,Glutathione metabolism,YOL049W
1000489,r_0486,glyceraldehyde-3-phosphate dehydrogenase,Glycolysis / gluconeogenesis,YGR192C or YJL052W or YJR009C
1000490,r_0487,glycerol dehydrogenase (NADP-dependent),Glycerolipid metabolism,YOR120W
1000491,r_0488,glycerol kinase,Glycerolipid metabolism,YHL032C
1000492,r_0489,glycerol-3-phosphatase,Glycerolipid metabolism,YER062C or YIL053W
1000493,r_0490,glycerol-3-phosphate dehydrogenase (fad),Glycerophospholipid metabolism,YIL155C
1000494,r_0491,glycerol-3-phosphate dehydrogenase (NAD),Glycerophospholipid metabolism,YDL022W or YOL059W
1000495,r_0492,glycerol-3-phosphate dehydrogenase (NAD),Glycerophospholipid metabolism,YOL059W
1000496,r_0497,glycerophosphodiester phosphodiesterase (glycerophosphocholine),Glycerophospholipid metabolism,YPL110C
1000497,r_0499,glycinamide ribotide transformylase,Purine metabolism,YDR408C
1000498,r_0500,glycine C-acetyltransferase,"Glycine, serine and threonine metabolism",
1000499,r_0501,glycine cleavage system,"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000500,r_0502,glycine hydroxymethyltransferase,"Glycine, serine and threonine metabolism",YLR058C
1000501,r_0503,glycine hydroxymethyltransferase,"Glycine, serine and threonine metabolism",YBR263W
1000502,r_0504,glycine-cleavage complex (lipoamide),"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000503,r_0505,glycine-cleavage complex (lipoamide),"Glycine, serine and threonine metabolism",(YAL044C and YDR019C and YFL018C and YMR189W) or (YDR148C and YFL018C and YIL125W)
1000504,r_0506,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000505,r_0507,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000506,r_0508,glycine-cleavage complex (lipoylprotein),"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000507,r_0509,glycine-cleavage system (lipoamide),"Glycine, serine and threonine metabolism",YAL044C and YDR019C and YFL018C and YMR189W
1000508,r_0510,glycogen (starch) synthase,Starch and sucrose metabolism,(YFR015C and YJL137C) or (YFR015C and YKR058W) or (YJL137C and YLR258W) or (YKR058W and YLR258W)
1000509,r_0511,glycogen phosphorylase,Starch and sucrose metabolism,YPR160W
1000510,r_0512,glycyl-tRNA synthetase,tRNA metabolism,YBR121C or YPR081C
1000511,r_0514,GMP synthase,Purine metabolism,YMR217W
1000512,r_0518,"GPI-anchor assembly, step 2",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YMR281W
1000513,r_0519,"GPI-anchor assembly, step 5",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YCL052C and YJR013W
1000514,r_0520,"GPI-anchor assembly, step 6",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YKL165C
1000515,r_0521,"GPI-anchor assembly, step 7",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YBR004C
1000516,r_0522,"GPI-anchor assembly, step 8",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YGL142C
1000517,r_0523,"GPI-anchor assembly, step 9",Glycosylphosphatidylinositol (gpi)-anchor biosynthesis,YDR302W or YLL031C
1000518,r_0524,GTP cyclohydrolase I,Folate biosynthesis,YGR267C
1000519,r_0525,GTP cyclohydrolase II,Riboflavin metabolism,YBL033C
1000520,r_0526,guanine deaminase,Purine metabolism,YDL238C
1000521,r_0527,guanine phosphoribosyltransferase,Purine metabolism,YDR399W
1000522,r_0528,guanylate kinase,Purine metabolism,YDR454C
1000523,r_0529,guanylate kinase (GMP:dATP),Purine metabolism,YDR454C
1000524,r_0530,heme O monooxygenase,Porphyrin and chlorophyll metabolism,YER141W or (YDR376W and YPL252C)
1000525,r_0531,Heme O synthase,Porphyrin and chlorophyll metabolism,YPL172C
1000526,r_0532,hexaprenyldihydroxybenzoate methyltransferase,Ubiquinone and other terpenoid-quinone biosynthesis,YDR204W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C
1000527,r_0533,hexokinase (D-fructose:ATP),Glycolysis / gluconeogenesis,YLR446W or YFR053C or YGL253W
1000528,r_0534,hexokinase (D-glucose:ATP),Glycolysis / gluconeogenesis,YLR446W or YCL040W or YFR053C or YGL253W or YDR516C
1000529,r_0535,hexokinase (D-mannose:ATP),Glycolysis / gluconeogenesis,YLR446W or YFR053C or YGL253W
1000530,r_0536,histidinol dehydrogenase,Histidine metabolism,YCL030C
1000531,r_0537,histidinol-phosphatase,Histidine metabolism,YFR025C
1000532,r_0538,histidinol-phosphate transaminase,Histidine metabolism,YIL116W
1000533,r_0539,histidyl-tRNA synthetase,tRNA metabolism,YPR033C
1000534,r_0540,histidyl-tRNA synthetase,tRNA metabolism,YPR033C
1000535,r_0541,hnRNP arginine N-methyltransferase,Histidine metabolism,YBR034C
1000536,r_0542,homoacontinate hydratase,Lysine metabolism,YJL200C or YDR234W
1000537,r_0543,homocitrate synthase,Pyruvate metabolism,YDL131W or YDL182W
1000538,r_0544,homocysteine S-methyltransferase,Cysteine and methionine metabolism,YLL062C or YPL273W
1000539,r_0545,homoisocitrate dehydrogenase,Lysine metabolism,YIL094C
1000540,r_0546,homoserine dehydrogenase (NADH),"Glycine, serine and threonine metabolism",YJR139C
1000541,r_0547,homoserine dehydrogenase (NADP),"Glycine, serine and threonine metabolism",YJR139C
1000542,r_0548,homoserine kinase,"Glycine, serine and threonine metabolism",YHR025W
1000543,r_0549,homoserine O-trans-acetylase,Cysteine and methionine metabolism,YNL277W
1000544,r_0550,hydrogen peroxide reductase (thioredoxin),Glutathione metabolism,(YDR453C and YGR209C) or (YDR453C and YLR043C)
1000545,r_0551,hydrogen peroxide reductase (thioredoxin),Glutathione metabolism,YBL064C and YCR083W
1000546,r_0552,hydrogen peroxide reductase (thioredoxin),Glutathione metabolism,(YGR209C and YLR109W) or (YLR043C and YLR109W)
1000547,r_0553,hydroxyacylglutathione hydrolase,Pyruvate metabolism,YDR272W
1000548,r_0554,hydroxyacylglutathione hydrolase,Pyruvate metabolism,YOR040W
1000549,r_0555,hydroxybenzoate octaprenyltransferase,Ubiquinone and other terpenoid-quinone biosynthesis,YNR041C
1000550,r_0556,hydroxyethylthiazole kinase,Thiamine metabolism,YPL214C
1000551,r_0557,hydroxymethylbilane synthase,Porphyrin and chlorophyll metabolism,YDL205C
1000552,r_0558,hydroxymethylglutaryl CoA reductase,Terpenoid backbone biosynthesis,YLR450W or YML075C
1000553,r_0560,hydroxymethylglutaryl CoA synthase,Terpenoid backbone biosynthesis,YML126C
1000554,r_0561,hydroxymethylpyrimidine kinase (ATP),Thiamine metabolism,YOL055C or YPL258C or YPR121W
1000555,r_0562,hypoxanthine phosphoribosyltransferase (Hypoxanthine),Purine metabolism,YDR399W
1000556,r_0563,Imidazole-glycerol-3-phosphate synthase,Histidine metabolism,YBR248C
1000557,r_0564,imidazoleglycerol-phosphate dehydratase,Histidine metabolism,YOR202W
1000558,r_0565,IMP dehydrogenase,Purine metabolism,YHR216W or YLR432W or YML056C
1000559,r_0566,indole-3-glycerol-phosphate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",YKL211C
1000560,r_0567,indole-3-pyruvate decarboxylase,Tryptophan metabolism,YGR087C or YLR044C or YLR134W
1000561,r_0568,inorganic diphosphatase,Oxidative phosphorylation,YBR011C
1000562,r_0569,inorganic diphosphatase,Oxidative phosphorylation,YMR267W
1000563,r_0570,inosine monophosphate cyclohydrolase,Purine metabolism,YLR028C or YMR120C
1000564,r_0571,"inositol-1,3,4,5,6-pentakisphosphate 2-kinase",Inositol phosphate metabolism,YDR315C
1000565,r_0572,"inositol-1,3,4,5-triphosphate 6-kinase, nucleus",Inositol phosphate metabolism,YDR173C
1000566,r_0573,"inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus",Inositol phosphate metabolism,YDR173C
1000567,r_0574,"inositol-1,4,5-triphosphate 6-kinase, nucleus",Inositol phosphate metabolism,YDR173C
1000568,r_0575,"inositol-1,4,5-trisphosphate 3-kinase, nucleus",Inositol phosphate metabolism,YDR173C
1000569,r_0596,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000570,r_0597,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000571,r_0598,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000572,r_0599,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000573,r_0600,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000574,r_0601,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000575,r_0602,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000576,r_0603,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000577,r_0604,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000578,r_0605,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000579,r_0606,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000580,r_0607,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000581,r_0608,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000582,r_0609,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000583,r_0610,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000584,r_0611,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000585,r_0612,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000586,r_0613,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000587,r_0614,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000588,r_0615,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000589,r_0616,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000590,r_0617,IPS phospholipase C,Sphingolipid metabolism,YER019W
1000591,r_0618,IPS phospholipase C,Sphingolipid metabolism,YER019W
